sex,age,Length,L,M,S
2,60,107.5,-0.3833,17.6567,0.09333
2,60,108,-0.3833,17.8407,0.09352
2,60,108.5,-0.3833,18.0277,0.09371
2,60,109,-0.3833,18.2174,0.0939
2,60,109.5,-0.3833,18.4096,0.09409
2,60,110,-0.3833,18.6043,0.09428
2,60,110.5,-0.3833,18.8015,0.09448
2,60,111,-0.3833,19.0009,0.09467
2,60,111.5,-0.3833,19.2024,0.09487
2,60,112,-0.3833,19.406,0.09507
2,60,112.5,-0.3833,19.6116,0.09527
2,60,113,-0.3833,19.819,0.09546
2,60,113.5,-0.3833,20.028,0.09566
2,60,114,-0.3833,20.2385,0.09586
2,60,114.5,-0.3833,20.4502,0.09606
2,60,115,-0.3833,20.6629,0.09626
2,60,115.5,-0.3833,20.8766,0.09646
2,60,116,-0.3833,21.0909,0.09666
2,60,116.5,-0.3833,21.3059,0.09686
2,60,117,-0.3833,21.5213,0.09707
2,60,117.5,-0.3833,21.737,0.09727
2,60,118,-0.3833,21.9529,0.09747
2,60,118.5,-0.3833,22.169,0.09767
2,60,119,-0.3833,22.3851,0.09788
2,60,119.5,-0.3833,22.6012,0.09808
2,60,120,-0.3833,22.8173,0.09828
1,24,45,-0.3521,2.441,0.09182
1,24,45.5,-0.3521,2.5244,0.09153
1,24,46,-0.3521,2.6077,0.09124
1,24,46.5,-0.3521,2.6913,0.09094
1,24,47,-0.3521,2.7755,0.09065
1,24,47.5,-0.3521,2.8609,0.09036
1,24,48,-0.3521,2.948,0.09007
1,24,48.5,-0.3521,3.0377,0.08977
1,24,49,-0.3521,3.1308,0.08948
1,24,49.5,-0.3521,3.2276,0.08919
1,24,50,-0.3521,3.3278,0.0889
1,24,50.5,-0.3521,3.4311,0.08861
1,24,51,-0.3521,3.5376,0.08831
1,24,51.5,-0.3521,3.6477,0.08801
1,24,52,-0.3521,3.762,0.08771
1,24,52.5,-0.3521,3.8814,0.08741
1,24,53,-0.3521,4.006,0.08711
1,24,53.5,-0.3521,4.1354,0.08681
1,24,54,-0.3521,4.2693,0.08651
1,24,54.5,-0.3521,4.4066,0.08621
1,24,55,-0.3521,4.5467,0.08592
1,24,55.5,-0.3521,4.6892,0.08563
1,24,56,-0.3521,4.8338,0.08535
1,24,56.5,-0.3521,4.9796,0.08507
1,24,57,-0.3521,5.1259,0.08481
1,24,57.5,-0.3521,5.2721,0.08455
1,24,58,-0.3521,5.418,0.0843
1,24,58.5,-0.3521,5.5632,0.08406
1,24,59,-0.3521,5.7074,0.08383
1,24,59.5,-0.3521,5.8501,0.08362
1,24,60,-0.3521,5.9907,0.08342
1,24,60.5,-0.3521,6.1284,0.08324
1,24,61,-0.3521,6.2632,0.08308
1,24,61.5,-0.3521,6.3954,0.08292
1,24,62,-0.3521,6.5251,0.08279
1,24,62.5,-0.3521,6.6527,0.08266
1,24,63,-0.3521,6.7786,0.08255
1,24,63.5,-0.3521,6.9028,0.08245
1,24,64,-0.3521,7.0255,0.08236
1,24,64.5,-0.3521,7.1467,0.08229
1,24,65,-0.3521,7.2666,0.08223
1,24,65.5,-0.3521,7.3854,0.08218
1,24,66,-0.3521,7.5034,0.08215
1,24,66.5,-0.3521,7.6206,0.08213
1,24,67,-0.3521,7.737,0.08212
1,24,67.5,-0.3521,7.8526,0.08212
1,24,68,-0.3521,7.9674,0.08214
1,24,68.5,-0.3521,8.0816,0.08216
1,24,69,-0.3521,8.1955,0.08219
1,24,69.5,-0.3521,8.3092,0.08224
1,24,70,-0.3521,8.4227,0.08229
1,24,70.5,-0.3521,8.5358,0.08235
1,24,71,-0.3521,8.648,0.08241
1,24,71.5,-0.3521,8.7594,0.08248
1,24,72,-0.3521,8.8697,0.08254
1,24,72.5,-0.3521,8.9788,0.08262
1,24,73,-0.3521,9.0865,0.08269
1,24,73.5,-0.3521,9.1927,0.08276
1,24,74,-0.3521,9.2974,0.08283
1,24,74.5,-0.3521,9.401,0.08289
1,24,75,-0.3521,9.5032,0.08295
1,24,75.5,-0.3521,9.6041,0.08301
1,24,76,-0.3521,9.7033,0.08307
1,24,76.5,-0.3521,9.8007,0.08311
1,24,77,-0.3521,9.8963,0.08314
1,24,77.5,-0.3521,9.9902,0.08317
1,24,78,-0.3521,10.0827,0.08318
1,24,78.5,-0.3521,10.1741,0.08318
1,24,79,-0.3521,10.2649,0.08316
1,24,79.5,-0.3521,10.3558,0.08313
1,24,80,-0.3521,10.4475,0.08308
1,24,80.5,-0.3521,10.5405,0.08301
1,24,81,-0.3521,10.6352,0.08293
1,24,81.5,-0.3521,10.7322,0.08284
1,24,82,-0.3521,10.8321,0.08273
1,24,82.5,-0.3521,10.935,0.0826
1,24,83,-0.3521,11.0415,0.08246
1,24,83.5,-0.3521,11.1516,0.08231
1,24,84,-0.3521,11.2651,0.08215
1,24,84.5,-0.3521,11.3817,0.08198
1,24,85,-0.3521,11.5007,0.08181
1,24,85.5,-0.3521,11.6218,0.08163
1,24,86,-0.3521,11.7444,0.08145
1,24,86.5,-0.3521,11.8678,0.08128
1,24,87,-0.3521,11.9916,0.08111
1,24,87.5,-0.3521,12.1152,0.08096
1,24,88,-0.3521,12.2382,0.08082
1,24,88.5,-0.3521,12.3603,0.08069
1,24,89,-0.3521,12.4815,0.08058
1,24,89.5,-0.3521,12.6017,0.08048
1,24,90,-0.3521,12.7209,0.08041
1,24,90.5,-0.3521,12.8392,0.08034
1,24,91,-0.3521,12.9569,0.0803
1,24,91.5,-0.3521,13.0742,0.08026
1,24,92,-0.3521,13.191,0.08025
1,24,92.5,-0.3521,13.3075,0.08025
1,24,93,-0.3521,13.4239,0.08026
1,24,93.5,-0.3521,13.5404,0.08029
1,24,94,-0.3521,13.6572,0.08034
1,24,94.5,-0.3521,13.7746,0.0804
1,24,95,-0.3521,13.8928,0.08047
1,24,95.5,-0.3521,14.012,0.08056
1,24,96,-0.3521,14.1325,0.08067
1,24,96.5,-0.3521,14.2544,0.08078
1,24,97,-0.3521,14.3782,0.08092
1,24,97.5,-0.3521,14.5038,0.08106
1,24,98,-0.3521,14.6316,0.08122
1,24,98.5,-0.3521,14.7614,0.08139
1,24,99,-0.3521,14.8934,0.08157
1,24,99.5,-0.3521,15.0275,0.08177
1,24,100,-0.3521,15.1637,0.08198
1,24,100.5,-0.3521,15.3018,0.0822
1,24,101,-0.3521,15.4419,0.08243
1,24,101.5,-0.3521,15.5838,0.08267
